ObjectIdentifier,IsDeleted,IsACLProtected,Properties/domain,Properties/name,Properties/distinguishedname,Properties/highvalue,Properties/samaccountname,Properties/domainsid,Properties/haslaps,Properties/description,Properties/whencreated,Properties/enabled,Properties/unconstraineddelegation,Properties/trustedtoauth,Properties/lastlogon,Properties/lastlogontimestamp,Properties/pwdlastset,Properties/serviceprincipalnames/0,Properties/serviceprincipalnames/1,Properties/serviceprincipalnames/2,Properties/serviceprincipalnames/3,Properties/serviceprincipalnames/4,Properties/serviceprincipalnames/5,Properties/serviceprincipalnames/6,Properties/serviceprincipalnames/7,Properties/serviceprincipalnames/8,Properties/serviceprincipalnames/9,Properties/serviceprincipalnames/10,Properties/serviceprincipalnames/11,Properties/serviceprincipalnames/12,Properties/serviceprincipalnames/13,Properties/serviceprincipalnames/14,Properties/serviceprincipalnames/15,Properties/serviceprincipalnames/16,Properties/serviceprincipalnames/17,Properties/serviceprincipalnames/18,Properties/serviceprincipalnames/19,Properties/serviceprincipalnames/20,Properties/serviceprincipalnames/21,Properties/operatingsystem,Properties/samaccoutname,PrimaryGroupSID,Aces/0/RightName,Aces/0/IsInherited,Aces/0/PrincipalSID,Aces/0/PrincipalType,Aces/1/RightName,Aces/1/IsInherited,Aces/1/PrincipalSID,Aces/1/PrincipalType,Aces/2/RightName,Aces/2/IsInherited,Aces/2/PrincipalSID,Aces/2/PrincipalType,Aces/3/RightName,Aces/3/IsInherited,Aces/3/PrincipalSID,Aces/3/PrincipalType,Aces/4/RightName,Aces/4/IsInherited,Aces/4/PrincipalSID,Aces/4/PrincipalType,Aces/5/RightName,Aces/5/IsInherited,Aces/5/PrincipalSID,Aces/5/PrincipalType,Aces/6/RightName,Aces/6/IsInherited,Aces/6/PrincipalSID,Aces/6/PrincipalType,Aces/7/RightName,Aces/7/IsInherited,Aces/7/PrincipalSID,Aces/7/PrincipalType,Aces/8/RightName,Aces/8/IsInherited,Aces/8/PrincipalSID,Aces/8/PrincipalType,Aces/9/RightName,Aces/9/IsInherited,Aces/9/PrincipalSID,Aces/9/PrincipalType,Aces/10/RightName,Aces/10/IsInherited,Aces/10/PrincipalSID,Aces/10/PrincipalType,Aces/11/RightName,Aces/11/IsInherited,Aces/11/PrincipalSID,Aces/11/PrincipalType,Aces/12/RightName,Aces/12/IsInherited,Aces/12/PrincipalSID,Aces/12/PrincipalType,Aces/13/RightName,Aces/13/IsInherited,Aces/13/PrincipalSID,Aces/13/PrincipalType,Aces/14/RightName,Aces/14/IsInherited,Aces/14/PrincipalSID,Aces/14/PrincipalType,Aces/15/RightName,Aces/15/IsInherited,Aces/15/PrincipalSID,Aces/15/PrincipalType,Aces/16/RightName,Aces/16/IsInherited,Aces/16/PrincipalSID,Aces/16/PrincipalType,Aces/17/RightName,Aces/17/IsInherited,Aces/17/PrincipalSID,Aces/17/PrincipalType,Aces/18/RightName,Aces/18/IsInherited,Aces/18/PrincipalSID,Aces/18/PrincipalType,Aces/19/RightName,Aces/19/IsInherited,Aces/19/PrincipalSID,Aces/19/PrincipalType,Aces/20/RightName,Aces/20/IsInherited,Aces/20/PrincipalSID,Aces/20/PrincipalType,Aces/21/RightName,Aces/21/IsInherited,Aces/21/PrincipalSID,Aces/21/PrincipalType,Aces/22/RightName,Aces/22/IsInherited,Aces/22/PrincipalSID,Aces/22/PrincipalType,Aces/23/RightName,Aces/23/IsInherited,Aces/23/PrincipalSID,Aces/23/PrincipalType,Aces/24/RightName,Aces/24/IsInherited,Aces/24/PrincipalSID,Aces/24/PrincipalType,Status,Sessions/Collected,Sessions/FailureReason,PrivilegedSessions/Collected,PrivilegedSessions/FailureReason,RegistrySessions/Collected,RegistrySessions/FailureReason,LocalAdmins/Collected,LocalAdmins/FailureReason,RemoteDesktopUsers/Collected,RemoteDesktopUsers/FailureReason,DcomUsers/Collected,DcomUsers/FailureReason,PSRemoteUsers/Collected,PSRemoteUsers/FailureReason
S-1-5-21-3877237015-3081670481-176987235-1001,false,false,PLUSSECURITY-TEST.COM,WINDOWS-TEST03@PLUSSECURITY-TEST.COM,"CN=WINDOWS-TEST03,OU=DOMAIN CONTROLLERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695993550,true,true,false,1697018468,1696903268,1695993579,Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/windows-test03.plussecurity-test.com,TERMSRV/WINDOWS-TEST03,TERMSRV/windows-test03.plussecurity-test.com,ldap/windows-test03.plussecurity-test.com/ForestDnsZones.plussecurity-test.com,ldap/windows-test03.plussecurity-test.com/DomainDnsZones.plussecurity-test.com,DNS/windows-test03.plussecurity-test.com,GC/windows-test03.plussecurity-test.com/plussecurity-test.com,RestrictedKrbHost/windows-test03.plussecurity-test.com,RestrictedKrbHost/WINDOWS-TEST03,RPC/a035bd28-9fe0-431a-8719-8e387c8d849f._msdcs.plussecurity-test.com,HOST/WINDOWS-TEST03/PLUSSECURITY-TE,HOST/windows-test03.plussecurity-test.com/PLUSSECURITY-TE,HOST/WINDOWS-TEST03,HOST/windows-test03.plussecurity-test.com,HOST/windows-test03.plussecurity-test.com/plussecurity-test.com,E3514235-4B06-11D1-AB04-00C04FC2DCD2/a035bd28-9fe0-431a-8719-8e387c8d849f/plussecurity-test.com,ldap/WINDOWS-TEST03/PLUSSECURITY-TE,ldap/a035bd28-9fe0-431a-8719-8e387c8d849f._msdcs.plussecurity-test.com,ldap/windows-test03.plussecurity-test.com/PLUSSECURITY-TE,ldap/WINDOWS-TEST03,ldap/windows-test03.plussecurity-test.com,ldap/windows-test03.plussecurity-test.com/plussecurity-test.com,Windows Server 2019 Standard,WINDOWS-TEST03$,S-1-5-21-3877237015-3081670481-176987235-516,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1102,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1121,User,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1127,User,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1139,Computer,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1142,Computer,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1170,Computer,GenericAll,true,PLUSSECURITY-TEST.COM-S-1-5-32-555,Group,GenericAll,true,PLUSSECURITY-TEST.COM-S-1-5-32-577,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1108,User,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1112,User,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1130,User,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1139,Computer,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1140,Computer,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1158,Computer,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-1001,Computer,GenericAll,true,PLUSSECURITY-TEST.COM-S-1-5-32-550,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1134,false,false,PLUSSECURITY-TEST.COM,APPSRV01.PLUSSECURITY-TEST.COM,"CN=APPSRV01,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,APPSRV01$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1135,false,false,PLUSSECURITY-TEST.COM,APPSRV02@PLUSSECURITY-TEST.COM,"CN=APPSRV02,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,APPSRV02$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1136,false,false,PLUSSECURITY-TEST.COM,APPSRV03.PLUSSECURITY-TEST.COM,"CN=APPSRV03,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,APPSRV03$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1137,false,false,PLUSSECURITY-TEST.COM,APPSRV04@PLUSSECURITY-TEST.COM,"CN=APPSRV04,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,APPSRV04$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1138,false,false,PLUSSECURITY-TEST.COM,APPSRV05.PLUSSECURITY-TEST.COM,"CN=APPSRV05,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,APPSRV05$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1139,false,false,PLUSSECURITY-TEST.COM,SQLSRV01@PLUSSECURITY-TEST.COM,"CN=SQLSRV01,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,SQLSRV01$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1140,false,false,PLUSSECURITY-TEST.COM,SQLSRV02@PLUSSECURITY-TEST.COM,"CN=SQLSRV02,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,SQLSRV02$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1141,false,false,PLUSSECURITY-TEST.COM,SQLSRV03@PLUSSECURITY-TEST.COM,"CN=SQLSRV03,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,SQLSRV03$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
S-1-5-21-3877237015-3081670481-176987235-1142,false,false,PLUSSECURITY-TEST.COM,SQLSRV04.PLUSSECURITY-TEST.COM,"CN=SQLSRV04,CN=COMPUTERS,DC=PLUSSECURITY-TEST,DC=COM",false,,S-1-5-21-3877237015-3081670481-176987235,false,,1695997360,true,false,false,-1,-1,1695997360,,,,,,,,,,,,,,,,,,,,,,,Windows Server 2019 Standard,SQLSRV04$,S-1-5-21-3877237015-3081670481-176987235-515,Owns,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,S-1-5-21-3877237015-3081670481-176987235-512,Group,GenericAll,false,PLUSSECURITY-TEST.COM-S-1-5-32-548,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-526,Group,AddKeyCredentialLink,true,S-1-5-21-3877237015-3081670481-176987235-527,Group,GenericAll,true,S-1-5-21-3877237015-3081670481-176987235-519,Group,GenericWrite,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteOwner,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,WriteDacl,true,PLUSSECURITY-TEST.COM-S-1-5-32-544,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,false,,false,,false,,false,,false,
