"ObjectIdentifier","IsDeleted","IsACLProtected","Properties__domain","Properties__name","Properties__distinguishedname","Properties__highvalue","Properties__samaccountname","Properties__domainsid","Properties__haslaps","Properties__description","Properties__whencreated","Properties__enabled","Properties__unconstraineddelegation","Properties__trustedtoauth","Properties__lastlogon","Properties__lastlogontimestamp","Properties__pwdlastset","Properties__serviceprincipalnames","Properties__operatingsystem","Properties__samaccoutname","PrimaryGroupSID","Aces__RightName","Aces__IsInherited","Aces__PrincipalSID","Aces__PrincipalType","Status","Sessions__Collected","Sessions__FailureReason","PrivilegedSessions__Collected","PrivilegedSessions__FailureReason","RegistrySessions__Collected","RegistrySessions__FailureReason","LocalAdmins__Collected","LocalAdmins__FailureReason","RemoteDesktopUsers__Collected","RemoteDesktopUsers__FailureReason","DcomUsers__Collected","DcomUsers__FailureReason","PSRemoteUsers__Collected","PSRemoteUsers__FailureReason"
"S-1-5-21-3877237015-3081670481-176987235-1001","False","False","PLUSSECURITY-TEST.COM","WINDOWS-TEST03@PLUSSECURITY-TEST.COM","CN=WINDOWS-TEST03,OU=DOMAIN CONTROLLERS,DC=PLUSSECURITY-TEST,DC=COM","False","null","S-1-5-21-3877237015-3081670481-176987235","False","null","1695993550","True","True","False","1697018468","1696903268","1695993579","Dfsr-12F9A27C-BF97-4787-9364-D31B6C55EB04/windows-test03.plussecurity-test.com","Windows Server 2019 Standard","WINDOWS-TEST03$","S-1-5-21-3877237015-3081670481-176987235-516","Owns","False","S-1-5-21-3877237015-3081670481-176987235-512","Group","null","False","null","False","null","False","null","False","null","False","null","False","null","False","null"
"","","","","","","","","","","","","","","","","","","TERMSRV/WINDOWS-TEST03","","","","GenericAll","False","S-1-5-21-3877237015-3081670481-176987235-512","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","TERMSRV/windows-test03.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1102","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/windows-test03.plussecurity-test.com/ForestDnsZones.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1121","User","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/windows-test03.plussecurity-test.com/DomainDnsZones.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1127","User","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","DNS/windows-test03.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1139","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","GC/windows-test03.plussecurity-test.com/plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1142","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","RestrictedKrbHost/windows-test03.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1170","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","RestrictedKrbHost/WINDOWS-TEST03","","","","GenericAll","True","PLUSSECURITY-TEST.COM-S-1-5-32-555","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","RPC/a035bd28-9fe0-431a-8719-8e387c8d849f._msdcs.plussecurity-test.com","","","","GenericAll","True","PLUSSECURITY-TEST.COM-S-1-5-32-577","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","HOST/WINDOWS-TEST03/PLUSSECURITY-TE","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-526","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","HOST/windows-test03.plussecurity-test.com/PLUSSECURITY-TE","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1108","User","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","HOST/WINDOWS-TEST03","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1112","User","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","HOST/windows-test03.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1130","User","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","HOST/windows-test03.plussecurity-test.com/plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1139","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","E3514235-4B06-11D1-AB04-00C04FC2DCD2/a035bd28-9fe0-431a-8719-8e387c8d849f/plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1140","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/WINDOWS-TEST03/PLUSSECURITY-TE","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1158","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/a035bd28-9fe0-431a-8719-8e387c8d849f._msdcs.plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-1001","Computer","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/windows-test03.plussecurity-test.com/PLUSSECURITY-TE","","","","GenericAll","True","PLUSSECURITY-TEST.COM-S-1-5-32-550","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/WINDOWS-TEST03","","","","AddKeyCredentialLink","True","S-1-5-21-3877237015-3081670481-176987235-526","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/windows-test03.plussecurity-test.com","","","","AddKeyCredentialLink","True","S-1-5-21-3877237015-3081670481-176987235-527","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","ldap/windows-test03.plussecurity-test.com/plussecurity-test.com","","","","GenericAll","True","S-1-5-21-3877237015-3081670481-176987235-519","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","GenericWrite","True","PLUSSECURITY-TEST.COM-S-1-5-32-544","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","WriteOwner","True","PLUSSECURITY-TEST.COM-S-1-5-32-544","Group","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","WriteDacl","True","PLUSSECURITY-TEST.COM-S-1-5-32-544","Group","","","","","","","","","","","","","","",""
